epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0954,1.62346,3.59719,1.11398,0.19901,0.43447,0.30181,0.21918,1.43445,2.42122,1.04946,0.000302079,0.000302079,0.000302079
2,44.3802,1.57276,2.61009,1.11312,0.38868,0.49143,0.42779,0.28791,1.45041,1.95011,1.08884,0.000575128,0.000575128,0.000575128
3,64.8832,1.57543,2.34695,1.13857,0.50408,0.44893,0.42109,0.25044,1.45804,1.78896,1.11014,0.000818179,0.000818179,0.000818179
4,85.0051,1.55218,2.06129,1.11676,0.45901,0.54875,0.51432,0.32769,1.43921,1.63747,1.0912,0.000774013,0.000774013,0.000774013
5,104.892,1.52758,1.89422,1.11518,0.56412,0.56129,0.6016,0.38139,1.41657,1.39936,1.08013,0.000729018,0.000729018,0.000729018
6,124.836,1.4737,1.75969,1.08612,0.48835,0.66677,0.63672,0.42058,1.37948,1.52435,1.06891,0.000684022,0.000684022,0.000684022
7,145.076,1.47783,1.60656,1.0917,0.5613,0.63816,0.6579,0.43905,1.36637,1.38445,1.06443,0.000639027,0.000639027,0.000639027
8,164.859,1.4529,1.56805,1.07855,0.56065,0.62751,0.66689,0.45025,1.33764,1.43415,1.05019,0.000594031,0.000594031,0.000594031
9,184.846,1.45904,1.49519,1.07868,0.6247,0.65934,0.70595,0.47365,1.32303,1.34219,1.04057,0.000549036,0.000549036,0.000549036
10,204.627,1.43917,1.39293,1.06826,0.61508,0.69714,0.7184,0.47865,1.33047,1.21342,1.04275,0.00050404,0.00050404,0.00050404
11,225.758,1.42344,1.42861,1.08249,0.65017,0.68998,0.7268,0.48388,1.35587,1.2005,1.0562,0.000459045,0.000459045,0.000459045
12,245.74,1.40473,1.32102,1.07354,0.6441,0.72312,0.73951,0.50499,1.32651,1.19266,1.0355,0.000414049,0.000414049,0.000414049
13,265.51,1.38197,1.26602,1.06029,0.6858,0.68075,0.73432,0.50158,1.31465,1.17085,1.0285,0.000369054,0.000369054,0.000369054
14,285.621,1.37732,1.22539,1.06177,0.6961,0.73063,0.77621,0.53275,1.29756,1.15735,1.02379,0.000324058,0.000324058,0.000324058
15,305.407,1.35993,1.1768,1.05383,0.68092,0.71956,0.75423,0.53423,1.2622,1.20846,1.00837,0.000279063,0.000279063,0.000279063
16,325.219,1.36859,1.14808,1.04692,0.6861,0.76395,0.76412,0.5354,1.27455,1.114,1.01116,0.000234068,0.000234068,0.000234068
17,345.003,1.33243,1.09529,1.03419,0.71871,0.73357,0.76982,0.54308,1.2625,1.12972,1.00249,0.000189072,0.000189072,0.000189072
18,364.798,1.3112,1.0756,1.01962,0.70098,0.77201,0.77457,0.55624,1.24798,1.06977,0.99504,0.000144077,0.000144077,0.000144077
19,384.472,1.30532,1.03823,1.03614,0.7265,0.78363,0.78756,0.56619,1.24199,1.01824,0.99309,9.9081e-05,9.9081e-05,9.9081e-05
20,404.262,1.28765,1.02843,1.00914,0.71923,0.79972,0.78571,0.56715,1.23276,1.02738,0.98998,5.40855e-05,5.40855e-05,5.40855e-05
