epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.738,1.55219,4.16036,1.09804,0.01239,0.57508,0.09943,0.06037,1.34951,3.95232,0.97869,0.00019089,0.00019089,0.00019089
2,221.814,1.50806,2.43305,1.04611,0.01048,0.72171,0.29695,0.22626,1.34917,3.62813,0.98758,0.000313478,0.000313478,0.000313478
3,229.897,1.46963,2.05298,1.05234,0.92296,0.15306,0.37747,0.28543,1.35234,3.31881,0.98677,0.000356873,0.000356873,0.000356873
4,238.104,1.43758,1.83937,1.03277,0.7907,0.21948,0.48248,0.35464,1.28146,2.79765,0.99394,0.000321077,0.000321077,0.000321077
5,246.348,1.40067,1.7041,1.02155,0.69472,0.4374,0.57358,0.42234,1.29178,2.22169,0.98753,0.000189072,0.000189072,0.000189072
