epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.933,0.89688,1.79751,2.12825,1.29931,0.14865,0.95994,0.15387,0.119,0.14767,0.95192,0.15288,0.10646,0.79881,1.98519,4.05802,1.14421,0.000661458,0.000661458,0.000661458
2,302.6,0.74597,1.4139,1.0081,1.15604,0.13872,0.83974,0.1435,0.08581,0.13528,0.81891,0.13614,0.07291,1.36169,2.87332,4.79306,1.58783,0.00119664,0.00119664,0.00119664
3,444.928,0.73817,1.40162,0.74223,1.15183,0.14941,0.98382,0.15481,0.11732,0.14892,0.98061,0.15457,0.1112,0.89054,1.87166,4.6478,1.2433,0.00159982,0.00159982,0.00159982
4,587.023,0.68102,1.3642,0.6706,1.11296,0.14977,0.98558,0.15324,0.13214,0.14977,0.98558,0.15324,0.116,0.616,1.49185,3.4182,0.98151,0.001406,0.001406,0.001406
5,728.745,0.63642,1.30207,0.64012,1.08154,0.14967,0.98397,0.15268,0.13215,0.14967,0.98397,0.15268,0.1208,0.57254,1.27912,3.34637,0.94388,0.001208,0.001208,0.001208
6,870.45,0.5865,1.24153,0.61457,1.04737,0.14977,0.98558,0.15591,0.13906,0.14977,0.98558,0.15591,0.12711,0.53504,1.24401,3.61929,0.91726,0.00101,0.00101,0.00101
7,1011.75,0.55777,1.20103,0.5975,1.03118,0.15001,0.98397,0.15439,0.14008,0.15001,0.98397,0.15439,0.12715,0.49663,1.20732,3.46543,0.89375,0.000812,0.000812,0.000812
8,1152.83,0.52896,1.16467,0.58533,1.0122,0.14974,0.98558,0.1488,0.13656,0.14974,0.98558,0.1488,0.12454,0.45193,1.14954,3.56472,0.85974,0.000614,0.000614,0.000614
9,1293.9,0.49758,1.12674,0.57424,0.99153,0.14976,0.98558,0.15439,0.14198,0.14976,0.98558,0.15439,0.12909,0.42358,1.12721,3.23489,0.84786,0.000416,0.000416,0.000416
10,1435.07,0.46781,1.09511,0.56127,0.97571,0.15027,0.98558,0.15412,0.14416,0.15027,0.98558,0.15412,0.13181,0.38571,1.06273,3.54622,0.82205,0.000218,0.000218,0.000218
