epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.9945,0.71883,3.42988,1.11377,0.00185,0.08,0.00117,0.00041,2.60819,4.17883,2.45767,5.001e-05,5.001e-05,5.001e-05
2,6.02575,0.69724,3.35266,1.07224,0.00424,0.16,0.005,0.00105,2.60393,4.12404,2.30401,0.000110914,0.000110914,0.000110914
3,7.24853,0.71304,2.82575,1.04045,0.00457,0.16,0.00433,0.00172,2.66556,4.13067,2.27879,0.000165216,0.000165216,0.000165216
4,8.45764,0.7371,2.0918,1.01317,0.0038,0.14,0.00551,0.00314,2.78354,4.10523,2.33022,0.000212918,0.000212918,0.000212918
5,9.59298,0.6863,1.5567,0.98766,0.00475,0.18,0.0082,0.00383,2.73361,4.12863,2.27215,0.000254017,0.000254017,0.000254017
6,10.7601,0.62198,1.27574,0.99244,0.00495,0.18,0.00524,0.00241,2.6084,4.18359,2.18302,0.000288516,0.000288516,0.000288516
7,11.8457,0.62475,1.23276,0.99952,0.00468,0.16,0.00415,0.00215,2.59286,4.19439,2.19716,0.000316413,0.000316413,0.000316413
8,12.9321,0.60573,0.99872,0.98346,0.00459,0.16,0.00379,0.00172,2.5445,4.16862,2.04426,0.000337709,0.000337709,0.000337709
9,13.9965,0.60885,0.95309,0.97522,0.00506,0.14,0.00388,0.00203,2.58637,4.03195,2.0273,0.000352404,0.000352404,0.000352404
10,18.133,0.54259,0.9809,0.93284,0.00398,0.1,0.00294,0.00152,2.62448,4.09341,2.05252,0.000360497,0.000360497,0.000360497
11,20.1938,0.56767,1.17534,0.93352,0.00149,0.04,0.00116,0.00092,2.7277,4.13764,2.14708,0.000361989,0.000361989,0.000361989
12,21.3766,0.58636,1.12454,0.9496,0.00453,0.1,0.00332,0.00143,2.69766,4.14664,2.10962,0.00035688,0.00035688,0.00035688
13,22.4881,0.54724,1.04418,0.94055,0.00272,0.06,0.00252,0.00171,2.60791,4.20263,2.10016,0.000345169,0.000345169,0.000345169
14,23.5386,0.53443,1.0212,0.90398,0.00353,0.08,0.00292,0.00171,2.57503,4.23538,2.03046,0.000326857,0.000326857,0.000326857
15,24.6113,0.57938,1.0757,0.9388,0.00536,0.14,0.00565,0.00195,2.69309,4.20117,2.16854,0.000301944,0.000301944,0.000301944
16,25.6695,0.46607,0.93782,0.87511,0.00512,0.14,0.00401,0.0019,2.61185,4.24184,2.11222,0.000270429,0.000270429,0.000270429
17,26.7309,0.48856,0.94353,0.88653,0.00513,0.14,0.00546,0.00189,2.6463,4.21727,2.13125,0.000232313,0.000232313,0.000232313
18,27.8184,0.47865,0.86535,0.89454,0.00361,0.1,0.00369,0.00182,2.69394,4.16672,2.17872,0.000187596,0.000187596,0.000187596
19,28.949,0.46189,0.86057,0.89835,0.00361,0.1,0.00371,0.0019,2.69088,4.1589,2.17713,0.000136277,0.000136277,0.000136277
20,30.0178,0.44503,0.90927,0.86546,0.0036,0.1,0.00337,0.00172,2.73376,4.13536,2.19278,7.83573e-05,7.83573e-05,7.83573e-05
