epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0291,1.5925,4.86362,1.13966,0.00554,0.52995,0.03936,0.02589,1.40411,4.12026,0.98481,0.00011817,0.00011817,0.00011817
2,27.9184,1.56284,3.10642,1.06786,0.00751,0.73387,0.18277,0.13505,1.35056,3.79316,0.9632,0.000221132,0.000221132,0.000221132
3,35.8995,1.48698,2.32377,1.06161,0.01367,0.75296,0.28167,0.21852,1.32511,3.5494,0.96205,0.000298897,0.000298897,0.000298897
4,43.6232,1.44391,2.18004,1.05656,0.01145,0.73285,0.2947,0.23004,1.39033,3.54604,0.97332,0.000351465,0.000351465,0.000351465
5,51.3868,1.40518,1.97009,1.02212,0.88358,0.22445,0.38081,0.26675,1.54762,3.16997,1.01768,0.000378835,0.000378835,0.000378835
6,59.038,1.41285,1.78378,1.02908,0.77372,0.23756,0.44537,0.31088,1.35059,2.72312,0.98688,0.000381007,0.000381007,0.000381007
7,66.7907,1.40559,1.71575,1.02367,0.73314,0.36292,0.49818,0.36067,1.36924,2.40541,0.99146,0.000357982,0.000357982,0.000357982
8,74.4277,1.38804,1.6369,1.02567,0.68433,0.4192,0.52979,0.38923,1.36201,2.07442,0.99545,0.000279063,0.000279063,0.000279063
9,82.5341,1.31479,1.53938,1.00056,0.61815,0.58223,0.62234,0.44296,1.34385,1.85222,0.99219,0.000189072,0.000189072,0.000189072
10,89.9807,1.34316,1.47324,1.01131,0.70159,0.67779,0.71715,0.51216,1.33262,1.52819,0.99156,9.9081e-05,9.9081e-05,9.9081e-05
