epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.478,0.88024,1.73399,2.00877,1.27822,0.14942,0.96955,0.14906,0.11435,0.14942,0.96955,0.14906,0.10731,0.77533,1.67477,8.27636,1.10592,0.0006625,0.0006625,0.0006625
2,303.297,0.76142,1.42559,0.93776,1.16843,0.14774,0.95994,0.15239,0.11708,0.14774,0.95994,0.15239,0.10494,0.84812,2.15814,8.69872,1.20191,0.00119758,0.00119758,0.00119758
3,445.033,0.73198,1.40701,0.71845,1.14503,0.1498,0.98558,0.15041,0.1215,0.14908,0.98077,0.15029,0.1083,0.65474,1.4937,9.35019,0.97832,0.00160066,0.00160066,0.00160066
4,587.687,0.6903,1.3665,0.669,1.11578,0.14984,0.97596,0.15703,0.13168,0.1496,0.97436,0.15698,0.12133,0.63721,1.34445,6.61328,0.96427,0.001406,0.001406,0.001406
5,728.722,0.63811,1.29424,0.63856,1.08357,0.14971,0.98397,0.15834,0.14051,0.14971,0.98397,0.15834,0.12256,0.5428,1.45302,8.76429,0.89439,0.001208,0.001208,0.001208
6,869.535,0.59467,1.25034,0.61292,1.05686,0.14966,0.98558,0.15963,0.14157,0.14966,0.98558,0.15963,0.12684,0.48413,1.23729,7.16721,0.85318,0.00101,0.00101,0.00101
7,1010.96,0.56596,1.20916,0.60143,1.036,0.14978,0.98558,0.15058,0.13539,0.14978,0.98558,0.15058,0.12409,0.46033,1.11308,8.91789,0.82708,0.000812,0.000812,0.000812
8,1152.31,0.52541,1.16683,0.58694,1.01129,0.14979,0.98558,0.14955,0.13633,0.14979,0.98558,0.14955,0.12339,0.43496,1.0891,9.46462,0.81411,0.000614,0.000614,0.000614
9,1294.49,0.49791,1.13159,0.57531,0.99473,0.14981,0.98558,0.15813,0.14726,0.14981,0.98558,0.15813,0.13441,0.37385,1.01902,8.97097,0.78158,0.000416,0.000416,0.000416
10,1436.14,0.465,1.09662,0.5611,0.97481,0.14985,0.98496,0.15436,0.14579,0.14985,0.98496,0.15436,0.13211,0.34362,1.0087,9.13827,0.76519,0.000218,0.000218,0.000218
