epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1620.87,0.6784,1.10457,0.98662,0.94403,0.22584,0.32416,0.09637,0.08716,0.22584,0.32416,0.09637,0.07706,0.48319,1.07473,3.97299,0.93968,0.007129,0.007129,0.007129
31,1674.79,0.67821,1.10333,0.98621,0.94534,0.22884,0.41223,0.11703,0.10481,0.22884,0.41223,0.11703,0.09405,0.45323,1.05112,3.93859,0.93229,0.00703,0.00703,0.00703
32,1728.53,0.67591,1.09747,0.98447,0.94402,0.11005,0.49829,0.09701,0.08681,0.11005,0.49829,0.09701,0.07767,0.46084,1.06575,4.03995,0.93653,0.006931,0.006931,0.006931
33,1782.78,0.6634,1.08662,0.97187,0.9375,0.2356,0.33707,0.11384,0.10538,0.2356,0.33707,0.11384,0.09476,0.45525,1.05365,4.09668,0.92949,0.006832,0.006832,0.006832
34,1836.15,0.66449,1.09271,0.96838,0.94096,0.12464,0.43534,0.10806,0.09474,0.12464,0.43534,0.10806,0.08744,0.50765,1.06411,4.21346,0.94249,0.006733,0.006733,0.006733
35,1889.55,0.65993,1.08127,0.96625,0.93696,0.26315,0.39673,0.09929,0.09079,0.26315,0.39673,0.09929,0.08171,0.44407,1.04444,3.98456,0.92834,0.006634,0.006634,0.006634
36,1943.38,0.65925,1.07802,0.95731,0.93854,0.21645,0.4193,0.09488,0.08567,0.21645,0.4193,0.09488,0.07665,0.4412,1.04663,4.05342,0.92472,0.006535,0.006535,0.006535
37,1996.98,0.65081,1.06998,0.9571,0.93467,0.1186,0.41562,0.10952,0.09751,0.1186,0.41562,0.10952,0.08986,0.46942,1.06039,4.12684,0.93163,0.006436,0.006436,0.006436
38,2050.19,0.64942,1.06713,0.9533,0.93642,0.11662,0.34941,0.10664,0.09809,0.11662,0.34941,0.10664,0.08395,0.42621,1.03116,4.05541,0.92366,0.006337,0.006337,0.006337
39,2103.44,0.65024,1.08506,0.9505,0.93794,0.123,0.43682,0.10014,0.08996,0.123,0.43682,0.10014,0.07991,0.46238,1.066,4.01766,0.92873,0.006238,0.006238,0.006238
40,2157.04,0.64193,1.07375,0.94728,0.93679,0.16985,0.38532,0.09325,0.08307,0.16985,0.38532,0.09325,0.07463,0.51406,1.10542,4.14437,0.94495,0.006139,0.006139,0.006139
41,2210.68,0.64725,1.07758,0.9371,0.93612,0.22429,0.39749,0.10058,0.09302,0.22429,0.39749,0.10058,0.07981,0.45174,1.02963,3.97573,0.92376,0.00604,0.00604,0.00604
42,2264.3,0.63814,1.0699,0.93776,0.93307,0.1695,0.39516,0.1191,0.10988,0.1695,0.39516,0.1191,0.09541,0.42486,1.03269,3.98626,0.91738,0.005941,0.005941,0.005941
43,2318.15,0.63672,1.06401,0.93459,0.93336,0.12028,0.42314,0.10078,0.09232,0.12028,0.42314,0.10078,0.0815,0.44702,1.05205,4.25786,0.92147,0.005842,0.005842,0.005842
44,2371.26,0.63178,1.05946,0.92879,0.93209,0.1132,0.4291,0.09987,0.08842,0.1132,0.4291,0.09987,0.07938,0.47484,1.04594,4.25892,0.93059,0.005743,0.005743,0.005743
45,2424.48,0.63154,1.06243,0.92556,0.93152,0.11846,0.37366,0.09889,0.0916,0.11846,0.37366,0.09889,0.08096,0.45271,1.03699,4.20493,0.92643,0.005644,0.005644,0.005644
46,2477.7,0.62966,1.05741,0.92446,0.93072,0.11085,0.41845,0.10651,0.09546,0.11085,0.41845,0.10651,0.08625,0.43468,1.01154,4.35929,0.91947,0.005545,0.005545,0.005545
47,2531.54,0.62554,1.05935,0.92272,0.9318,0.1229,0.38793,0.10107,0.09295,0.1229,0.38793,0.10107,0.08202,0.42588,1.03094,4.17476,0.91737,0.005446,0.005446,0.005446
48,2585.31,0.62677,1.05218,0.91843,0.9296,0.11006,0.44913,0.10686,0.09979,0.11006,0.44913,0.10686,0.08543,0.41809,1.02122,4.21669,0.91249,0.005347,0.005347,0.005347
49,2638.63,0.62049,1.0544,0.90754,0.92952,0.1197,0.39498,0.10175,0.09553,0.1197,0.39498,0.10175,0.084,0.42612,1.01519,4.32006,0.91381,0.005248,0.005248,0.005248
50,2692.41,0.61973,1.0489,0.91394,0.92877,0.12435,0.35732,0.1108,0.10326,0.12435,0.35732,0.1108,0.09195,0.42865,1.02206,4.22291,0.9154,0.005149,0.005149,0.005149
51,2746.22,0.62117,1.05075,0.90415,0.92946,0.12025,0.36992,0.1135,0.10476,0.12025,0.36992,0.1135,0.09188,0.42505,1.01138,4.21988,0.91452,0.00505,0.00505,0.00505
52,2800.08,0.61758,1.04571,0.90276,0.92966,0.12074,0.3905,0.11691,0.10908,0.12074,0.3905,0.11691,0.0942,0.42376,1.02414,4.18317,0.91442,0.004951,0.004951,0.004951
53,2853.75,0.61664,1.03979,0.89566,0.93044,0.12234,0.381,0.12438,0.11758,0.12234,0.381,0.12438,0.10316,0.41559,1.01396,4.31601,0.91315,0.004852,0.004852,0.004852
54,2907.11,0.61312,1.04049,0.9026,0.92773,0.11863,0.3485,0.09472,0.08794,0.11863,0.3485,0.09472,0.07846,0.40832,1.00317,4.12592,0.91193,0.004753,0.004753,0.004753
55,2960.91,0.6078,1.04003,0.88798,0.92817,0.11865,0.38667,0.1146,0.10792,0.11865,0.38667,0.1146,0.09551,0.40635,0.99759,4.44076,0.91099,0.004654,0.004654,0.004654
56,3014.78,0.60793,1.03829,0.88207,0.92839,0.17618,0.30988,0.11388,0.10711,0.17618,0.30988,0.11388,0.09315,0.40187,1.00426,4.43115,0.90989,0.004555,0.004555,0.004555
57,3068.99,0.60391,1.03104,0.88341,0.92594,0.116,0.43083,0.11162,0.10495,0.116,0.43083,0.11162,0.09239,0.41084,1.00754,4.49541,0.91153,0.004456,0.004456,0.004456
58,3122.59,0.60068,1.03087,0.88237,0.92425,0.12091,0.35402,0.11363,0.10652,0.12091,0.35402,0.11363,0.09363,0.40538,1.00262,4.31579,0.90852,0.004357,0.004357,0.004357
59,3175.85,0.60098,1.03099,0.88924,0.92483,0.11644,0.39652,0.10204,0.09394,0.11644,0.39652,0.10204,0.08488,0.39207,0.9954,4.18349,0.90654,0.004258,0.004258,0.004258
60,3229.46,0.59698,1.02303,0.87257,0.92584,0.11892,0.3297,0.11762,0.11088,0.11892,0.3297,0.11762,0.09759,0.38472,0.99502,4.25744,0.90501,0.004159,0.004159,0.004159
61,3282.24,0.59623,1.0215,0.87862,0.92413,0.11658,0.39158,0.10502,0.09917,0.11658,0.39158,0.10502,0.08659,0.38423,0.99719,4.38946,0.90418,0.00406,0.00406,0.00406
62,3335.23,0.59546,1.02472,0.86996,0.92591,0.11941,0.38882,0.12712,0.12008,0.11941,0.38882,0.12712,0.10429,0.37279,0.99011,4.33669,0.90211,0.003961,0.003961,0.003961
63,3389.31,0.59068,1.02224,0.86306,0.92451,0.11911,0.39743,0.11729,0.11035,0.11911,0.39743,0.11729,0.09675,0.38028,0.99619,4.43466,0.90382,0.003862,0.003862,0.003862
64,3442.8,0.58817,1.01494,0.85821,0.9226,0.11815,0.32367,0.11214,0.10651,0.11815,0.32367,0.11214,0.09428,0.37479,0.99054,4.40884,0.90196,0.003763,0.003763,0.003763
65,3496.57,0.58817,1.02585,0.86733,0.92197,0.11724,0.41705,0.11565,0.11026,0.11724,0.41705,0.11565,0.09686,0.37343,0.98779,4.37683,0.90158,0.003664,0.003664,0.003664
66,3549.99,0.58409,1.02424,0.86,0.92067,0.1203,0.39969,0.11731,0.1106,0.1203,0.39969,0.11731,0.09875,0.37614,0.98362,4.3231,0.90203,0.003565,0.003565,0.003565
67,3603.2,0.58425,1.01271,0.85375,0.92267,0.11941,0.40274,0.1075,0.10186,0.11941,0.40274,0.1075,0.08973,0.37612,0.98536,4.37959,0.90042,0.003466,0.003466,0.003466
68,3656.26,0.58021,1.01562,0.85253,0.92067,0.12061,0.37777,0.10706,0.10171,0.12061,0.37777,0.10706,0.08883,0.37055,0.97914,4.36502,0.89907,0.003367,0.003367,0.003367
69,3709.7,0.58143,1.02274,0.85518,0.92308,0.11756,0.39447,0.1082,0.10191,0.11756,0.39447,0.1082,0.08781,0.37742,0.97926,4.4053,0.90017,0.003268,0.003268,0.003268
