epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.607,1.57479,3.77665,1.09503,0.01234,0.63802,0.1573,0.11463,1.33613,3.71065,0.98368,0.00029088,0.00029088,0.00029088
2,141.205,1.49189,2.18138,1.05135,0.70993,0.14616,0.28473,0.2105,1.37261,3.28507,1.01822,0.000561603,0.000561603,0.000561603
3,149.632,1.51327,1.94358,1.07296,0.61949,0.40145,0.435,0.30008,1.46996,2.28295,1.06338,0.000802629,0.000802629,0.000802629
4,157.765,1.45517,1.81764,1.06056,0.51728,0.50609,0.53505,0.38018,1.37712,1.80757,1.03018,0.000774013,0.000774013,0.000774013
5,165.766,1.40629,1.6525,1.04104,0.58364,0.5903,0.60607,0.4106,1.42708,1.47231,1.04067,0.000729018,0.000729018,0.000729018
6,173.642,1.41667,1.51642,1.02918,0.58241,0.65547,0.63381,0.42718,1.368,1.3811,1.03804,0.000684022,0.000684022,0.000684022
7,181.489,1.41583,1.41515,1.03661,0.67175,0.61347,0.64902,0.44873,1.35964,1.34474,1.03074,0.000639027,0.000639027,0.000639027
8,189.58,1.38319,1.37226,1.02161,0.61969,0.67903,0.70514,0.48779,1.33064,1.27142,1.01435,0.000594031,0.000594031,0.000594031
9,197.293,1.35587,1.29816,1.01397,0.67987,0.67989,0.71077,0.48753,1.33471,1.21424,1.01571,0.000549036,0.000549036,0.000549036
10,205.052,1.34916,1.25276,1.00975,0.6752,0.73075,0.7123,0.51361,1.29772,1.16188,1.00693,0.00050404,0.00050404,0.00050404
11,214.972,1.35177,1.28857,1.03581,0.72766,0.73441,0.74678,0.52311,1.31722,1.15476,1.01331,0.000459045,0.000459045,0.000459045
12,222.907,1.32775,1.20744,1.02207,0.77789,0.72081,0.78743,0.55212,1.31009,1.11574,1.0049,0.000414049,0.000414049,0.000414049
13,230.77,1.32441,1.14004,1.01996,0.71626,0.77061,0.76493,0.53613,1.29272,1.07322,1.00455,0.000369054,0.000369054,0.000369054
14,238.581,1.31715,1.12017,1.01168,0.75026,0.7555,0.79009,0.56131,1.30407,1.03807,1.00873,0.000324058,0.000324058,0.000324058
15,246.274,1.30579,1.11863,1.0159,0.73132,0.78212,0.76327,0.53452,1.28476,1.04335,1.00424,0.000279063,0.000279063,0.000279063
16,254.093,1.28434,1.04537,1.0005,0.77592,0.76037,0.79703,0.56623,1.28569,0.99649,1.00124,0.000234068,0.000234068,0.000234068
17,261.921,1.27124,0.99507,0.99145,0.75918,0.77117,0.79369,0.57029,1.25938,0.97875,0.98783,0.000189072,0.000189072,0.000189072
18,269.661,1.25405,0.9817,0.98899,0.77681,0.78754,0.81954,0.591,1.26004,0.9624,0.98937,0.000144077,0.000144077,0.000144077
19,277.418,1.2607,0.95658,0.99027,0.79092,0.78316,0.82964,0.60681,1.25566,0.95915,0.98357,9.9081e-05,9.9081e-05,9.9081e-05
20,285.407,1.22975,0.94083,0.97631,0.79235,0.78137,0.82537,0.61024,1.24685,0.94471,0.98551,5.40855e-05,5.40855e-05,5.40855e-05
