epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5201,1.6373,4.82489,1.17315,0.001,0.28887,0.01028,0.00725,1.2986,4.31379,1.02998,7.272e-05,7.272e-05,7.272e-05
2,25.0139,1.5671,4.11316,1.06585,0.00807,0.54055,0.06428,0.03716,1.32659,3.99892,0.95781,0.000146881,0.000146881,0.000146881
3,32.7304,1.5528,2.66686,1.05006,0.00969,0.64196,0.21904,0.16657,1.33407,3.76472,0.95372,0.000212942,0.000212942,0.000212942
4,40.2308,1.50622,2.24251,1.04252,0.01021,0.65525,0.29501,0.23135,1.32347,3.60499,0.96061,0.000270905,0.000270905,0.000270905
5,47.6058,1.44341,1.99211,1.02714,0.67839,0.26371,0.33398,0.25833,1.31576,3.52516,0.9532,0.000320768,0.000320768,0.000320768
6,55.1016,1.42747,1.91367,1.0236,0.8978,0.22196,0.30496,0.23854,1.36034,3.53555,0.96243,0.000362532,0.000362532,0.000362532
7,62.5102,1.41718,1.84487,1.01966,0.06104,0.65804,0.32739,0.23783,1.30507,3.39197,0.96553,0.000396197,0.000396197,0.000396197
8,70.2149,1.38219,1.67857,1.00368,0.90314,0.20276,0.41693,0.31277,1.29108,3.21452,0.97078,0.000421762,0.000421762,0.000421762
9,78.1846,1.3858,1.6172,1.00648,0.80434,0.21939,0.47997,0.34735,1.30204,2.98799,0.96948,0.000439229,0.000439229,0.000439229
10,86.2919,1.40035,1.5948,1.01128,0.83514,0.28137,0.5194,0.38015,1.31173,2.76445,0.96895,0.000448596,0.000448596,0.000448596
11,98.3986,1.3481,1.61122,1.00335,0.81635,0.29345,0.57258,0.40957,1.34133,2.73032,0.98577,0.000449864,0.000449864,0.000449864
12,106.077,1.35213,1.5325,1.01932,0.75893,0.47696,0.62964,0.45546,1.32682,2.15317,0.97772,0.000414049,0.000414049,0.000414049
13,113.454,1.34861,1.51365,1.01505,0.73691,0.50397,0.61337,0.43418,1.30264,2.15602,0.97239,0.000369054,0.000369054,0.000369054
14,120.764,1.32844,1.4216,1.01204,0.74712,0.62511,0.7007,0.49721,1.29371,1.75923,0.97765,0.000324058,0.000324058,0.000324058
15,128.129,1.31781,1.37024,1.00842,0.73404,0.59333,0.74239,0.54002,1.28649,1.61241,0.97031,0.000279063,0.000279063,0.000279063
16,135.533,1.28384,1.334,0.98434,0.71873,0.66637,0.73156,0.52156,1.28335,1.59028,0.96988,0.000234068,0.000234068,0.000234068
17,142.701,1.29878,1.32501,1.00503,0.71304,0.73439,0.77978,0.55225,1.26765,1.39939,0.97341,0.000189072,0.000189072,0.000189072
18,150.007,1.27415,1.24895,0.9831,0.74994,0.72824,0.78123,0.56552,1.25188,1.24691,0.97201,0.000144077,0.000144077,0.000144077
19,157.356,1.2644,1.22522,0.98518,0.75816,0.76242,0.80079,0.58046,1.25697,1.24287,0.96862,9.9081e-05,9.9081e-05,9.9081e-05
20,164.636,1.25124,1.21783,0.97535,0.79073,0.75287,0.80647,0.58602,1.25883,1.17811,0.97041,5.40855e-05,5.40855e-05,5.40855e-05
