epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.449,0.93984,1.9091,1.6292,1.18626,0.14045,0.84135,0.15468,0.11212,0.14045,0.83814,0.15459,0.10495,1.0105,1.94883,5.76473,1.31953,0.000661458,0.000661458,0.000661458
2,281.262,0.85861,1.61281,0.97601,1.12117,0.14433,0.80929,0.14948,0.0863,0.14147,0.78846,0.13924,0.06572,1.44296,3.70605,4.76156,1.67863,0.00106516,0.00106516,0.00106516
3,418.025,0.83356,1.57083,0.82701,1.10491,0.14848,0.97756,0.14825,0.11787,0.14848,0.97756,0.14825,0.11321,0.78755,1.42626,4.01454,1.14305,0.00120485,0.00120485,0.00120485
4,554.362,0.7727,1.49734,0.75198,1.07241,0.14982,0.98558,0.1589,0.13621,0.14982,0.98558,0.1589,0.12759,0.63746,1.25878,3.91731,0.98413,0.000812,0.000812,0.000812
5,691.282,0.71266,1.42466,0.71194,1.04293,0.15065,0.94872,0.15726,0.13911,0.15065,0.94872,0.15726,0.13047,0.5638,1.16874,3.43141,0.94227,0.000416,0.000416,0.000416
