epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5921,1.55804,4.56855,1.11913,0.0052,0.45387,0.04115,0.02695,1.26745,4.11588,0.96856,0.00014544,0.00014544,0.00014544
2,22.3625,1.56741,2.68797,1.05869,0.01219,0.70158,0.22336,0.15826,1.32576,3.60548,0.96776,0.000285121,0.000285121,0.000285121
3,30.3469,1.46806,2.08696,1.04087,0.01493,0.67912,0.24069,0.17691,1.37018,3.54774,0.98324,0.000409505,0.000409505,0.000409505
4,38.048,1.44619,1.91371,1.04173,0.86105,0.0794,0.37744,0.25409,1.31617,3.19182,0.99584,0.000518589,0.000518589,0.000518589
5,45.882,1.46194,1.79628,1.03961,0.69461,0.14745,0.38154,0.27676,1.35541,2.93399,1.0166,0.000612375,0.000612375,0.000612375
6,53.6199,1.44556,1.7618,1.03031,0.61207,0.25269,0.32156,0.20825,1.40274,2.54276,1.02032,0.000684022,0.000684022,0.000684022
7,61.1483,1.45147,1.59027,1.04092,0.67555,0.45389,0.5053,0.34438,1.39138,1.91392,1.02042,0.000639027,0.000639027,0.000639027
8,68.6107,1.40765,1.55082,1.03109,0.5295,0.56726,0.60416,0.3647,1.3959,1.97695,1.01353,0.000594031,0.000594031,0.000594031
9,76.4261,1.40084,1.4072,1.01861,0.59995,0.51976,0.57826,0.40201,1.40297,1.82578,1.01267,0.000549036,0.000549036,0.000549036
10,84.0061,1.38841,1.37262,1.02392,0.70922,0.45443,0.54152,0.38515,1.3783,1.77892,1.02051,0.00050404,0.00050404,0.00050404
11,94.4285,1.35285,1.35226,1.02508,0.59092,0.62678,0.65853,0.4638,1.33544,1.54227,1.00581,0.000459045,0.000459045,0.000459045
12,101.893,1.34585,1.32797,1.02597,0.66514,0.6838,0.71098,0.49332,1.29542,1.349,0.99976,0.000414049,0.000414049,0.000414049
13,109.326,1.3368,1.22825,1.01769,0.64752,0.77095,0.74325,0.50767,1.29204,1.17351,1.00272,0.000369054,0.000369054,0.000369054
14,116.638,1.325,1.21497,1.0168,0.77575,0.70232,0.78205,0.55164,1.27311,1.11616,0.98785,0.000324058,0.000324058,0.000324058
15,124.16,1.31743,1.18141,1.01006,0.70671,0.77868,0.78128,0.55249,1.25524,1.08214,0.98944,0.000279063,0.000279063,0.000279063
16,131.633,1.30595,1.13162,1.00562,0.76179,0.76968,0.80753,0.57819,1.26366,1.03365,0.98494,0.000234068,0.000234068,0.000234068
17,138.899,1.27908,1.07138,0.98745,0.72471,0.80283,0.79947,0.57441,1.25611,1.00686,0.97915,0.000189072,0.000189072,0.000189072
18,146.26,1.26568,1.06296,0.98405,0.76541,0.76491,0.79874,0.57873,1.24806,1.02301,0.97599,0.000144077,0.000144077,0.000144077
19,154.53,1.27285,1.01641,0.99889,0.76125,0.81813,0.81909,0.59981,1.22883,0.97018,0.97001,9.9081e-05,9.9081e-05,9.9081e-05
20,161.782,1.24496,1.00712,0.9785,0.77144,0.79634,0.82678,0.61039,1.22067,0.95645,0.96829,5.40855e-05,5.40855e-05,5.40855e-05
