epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7132,1.55219,4.16036,1.09804,0.01239,0.57508,0.09943,0.06037,1.34951,3.95232,0.97869,0.00019089,0.00019089,0.00019089
2,22.6654,1.50607,2.42329,1.04815,0.01105,0.70199,0.28802,0.21785,1.34927,3.64466,0.98604,0.000371522,0.000371522,0.000371522
3,31.0967,1.48176,2.06324,1.05523,0.94059,0.06977,0.35692,0.26296,1.37952,3.45909,1.00264,0.000532356,0.000532356,0.000532356
4,39.2865,1.45981,1.87995,1.04498,0.64926,0.23483,0.36814,0.24631,1.34722,2.80159,1.00616,0.000673392,0.000673392,0.000673392
5,47.1049,1.46158,1.77638,1.04671,0.63691,0.42843,0.45247,0.30604,1.37069,2.25306,1.02218,0.000729018,0.000729018,0.000729018
6,54.7595,1.44502,1.62178,1.04453,0.49634,0.49475,0.52124,0.34292,1.42524,2.08981,1.05461,0.000684022,0.000684022,0.000684022
7,62.5066,1.43477,1.52115,1.03185,0.43224,0.5404,0.51371,0.33538,1.41137,2.05383,1.03935,0.000639027,0.000639027,0.000639027
8,70.3226,1.41397,1.3986,1.03202,0.54925,0.58219,0.62944,0.42222,1.29977,1.48912,1.0063,0.000594031,0.000594031,0.000594031
9,77.9184,1.37448,1.30787,1.01793,0.63033,0.73221,0.69356,0.46351,1.30919,1.32513,1.02142,0.000549036,0.000549036,0.000549036
10,85.4536,1.40181,1.27698,1.02265,0.69028,0.61447,0.66798,0.46261,1.3204,1.3631,1.02865,0.00050404,0.00050404,0.00050404
11,95.1342,1.37769,1.28573,1.03612,0.56371,0.65586,0.66006,0.46252,1.32628,1.35738,1.02246,0.000459045,0.000459045,0.000459045
12,102.906,1.36163,1.2059,1.03322,0.59842,0.67849,0.71765,0.50124,1.27393,1.2446,1.00505,0.000414049,0.000414049,0.000414049
13,110.852,1.35899,1.19059,1.03063,0.71849,0.6994,0.72188,0.50927,1.24546,1.11658,0.99126,0.000369054,0.000369054,0.000369054
14,119.19,1.32165,1.12899,1.01781,0.72232,0.7754,0.78006,0.55116,1.3009,1.05396,1.01495,0.000324058,0.000324058,0.000324058
15,127.12,1.30831,1.08932,1.00936,0.78561,0.72703,0.78011,0.55271,1.26527,1.02425,1.01436,0.000279063,0.000279063,0.000279063
16,135.116,1.30378,1.03473,1.01338,0.73742,0.74604,0.78787,0.5593,1.23027,1.01909,0.97983,0.000234068,0.000234068,0.000234068
17,142.959,1.28385,1.00064,1.00237,0.75716,0.75871,0.79722,0.56838,1.21018,1.00334,0.98353,0.000189072,0.000189072,0.000189072
18,150.898,1.2705,0.99132,0.9957,0.70176,0.77977,0.79339,0.56689,1.19388,0.96367,0.97106,0.000144077,0.000144077,0.000144077
19,159.018,1.24761,0.95385,0.99463,0.74895,0.80712,0.81218,0.57661,1.2044,0.95772,0.97627,9.9081e-05,9.9081e-05,9.9081e-05
20,166.919,1.23761,0.92378,0.98386,0.77623,0.79709,0.82008,0.58659,1.1831,0.91606,0.9702,5.40855e-05,5.40855e-05,5.40855e-05
