epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0347,1.57479,3.77665,1.09503,0.01234,0.63802,0.1573,0.11463,1.33613,3.71065,0.98368,0.00029088,0.00029088,0.00029088
2,23.0112,1.4942,2.18061,1.0517,0.96524,0.09184,0.27588,0.20868,1.3906,3.3929,1.03274,0.000576226,0.000576226,0.000576226
3,31.3742,1.51495,1.92411,1.06848,0.58733,0.40183,0.43455,0.31751,1.40605,2.21486,1.02717,0.000846724,0.000846724,0.000846724
4,39.3247,1.46503,1.79727,1.0582,0.51956,0.50629,0.528,0.37676,1.39387,1.84263,1.03854,0.000841507,0.000841507,0.000841507
5,47.4896,1.41595,1.65141,1.04499,0.60063,0.56818,0.59458,0.41016,1.41561,1.61528,1.04349,0.000819009,0.000819009,0.000819009
6,55.598,1.4288,1.52534,1.0319,0.52381,0.58136,0.58582,0.39187,1.37827,1.54643,1.04147,0.000796511,0.000796511,0.000796511
7,63.4595,1.42053,1.41193,1.03739,0.6539,0.63737,0.65886,0.45335,1.36112,1.34926,1.0478,0.000774013,0.000774013,0.000774013
8,71.4196,1.40717,1.37185,1.02788,0.63724,0.64231,0.64936,0.4582,1.38413,1.35017,1.02981,0.000751516,0.000751516,0.000751516
9,79.1442,1.37453,1.30562,1.02212,0.66955,0.6474,0.68274,0.46295,1.37193,1.35624,1.02209,0.000729018,0.000729018,0.000729018
10,86.8198,1.37136,1.27873,1.01638,0.69753,0.66028,0.69271,0.48262,1.33345,1.24039,1.01224,0.00070652,0.00070652,0.00070652
11,94.5673,1.37126,1.23273,1.01773,0.56941,0.69569,0.69233,0.4827,1.36011,1.2493,1.02905,0.000684022,0.000684022,0.000684022
12,102.412,1.37155,1.2287,1.01439,0.70576,0.71669,0.73469,0.4997,1.34252,1.1788,1.0141,0.000661525,0.000661525,0.000661525
13,110.361,1.36891,1.14564,1.01101,0.66675,0.72655,0.69776,0.4863,1.33126,1.20227,1.02505,0.000639027,0.000639027,0.000639027
14,118.199,1.3288,1.09623,1.00643,0.69546,0.76884,0.77542,0.54643,1.31351,1.06257,1.00543,0.000616529,0.000616529,0.000616529
15,126.16,1.31954,1.08515,0.99849,0.78341,0.72716,0.78827,0.55199,1.30658,1.0397,1.0026,0.000594031,0.000594031,0.000594031
16,133.995,1.32686,1.05296,1.00285,0.73091,0.76223,0.77235,0.54975,1.29899,1.0444,1.00418,0.000571534,0.000571534,0.000571534
17,141.647,1.31866,1.04011,1.00389,0.76272,0.74004,0.78521,0.55534,1.29012,1.0338,0.99973,0.000549036,0.000549036,0.000549036
18,149.306,1.29342,1.05128,0.99624,0.72168,0.78143,0.78869,0.55847,1.28659,1.06364,0.99443,0.000526538,0.000526538,0.000526538
19,157.068,1.30013,0.99829,0.98404,0.75587,0.70411,0.77417,0.55423,1.31124,1.08628,1.01148,0.00050404,0.00050404,0.00050404
20,164.881,1.27477,0.98021,0.9898,0.72888,0.794,0.80042,0.56984,1.29562,0.99548,0.99862,0.000481543,0.000481543,0.000481543
21,172.551,1.29252,0.97299,0.99345,0.70021,0.74105,0.76231,0.54579,1.28177,1.06836,0.99507,0.000459045,0.000459045,0.000459045
22,180.236,1.27835,0.97244,0.98341,0.73847,0.79983,0.80483,0.56942,1.27568,0.99195,1.00258,0.000436547,0.000436547,0.000436547
23,188.077,1.27572,0.97134,0.98964,0.72989,0.77224,0.80672,0.56938,1.26906,1.00022,0.99733,0.000414049,0.000414049,0.000414049
24,195.848,1.26454,0.9407,0.97299,0.80371,0.76771,0.80951,0.58312,1.26974,0.98741,0.99336,0.000391552,0.000391552,0.000391552
25,203.624,1.24131,0.9277,0.9762,0.76882,0.78404,0.80948,0.58163,1.25364,0.96231,0.98359,0.000369054,0.000369054,0.000369054
26,211.37,1.25433,0.91243,0.9753,0.72831,0.8034,0.80485,0.587,1.2594,0.96119,0.98692,0.000346556,0.000346556,0.000346556
27,219.197,1.23492,0.87813,0.96946,0.7903,0.77036,0.80771,0.57881,1.27257,0.9728,0.98887,0.000324058,0.000324058,0.000324058
28,227.008,1.25416,0.88949,0.97575,0.77429,0.79622,0.82389,0.60145,1.24771,0.93758,0.98314,0.000301561,0.000301561,0.000301561
29,234.709,1.24184,0.8708,0.97139,0.77577,0.79821,0.82777,0.6052,1.25726,0.93589,0.9831,0.000279063,0.000279063,0.000279063
30,242.422,1.24666,0.86292,0.9764,0.78011,0.7852,0.82349,0.60015,1.25617,0.94408,0.98731,0.000256565,0.000256565,0.000256565
31,252,1.23633,0.86217,0.98744,0.77782,0.81822,0.83597,0.61542,1.24704,0.93514,0.98531,0.000234068,0.000234068,0.000234068
32,260.082,1.21511,0.82601,0.97571,0.76851,0.80604,0.83113,0.60967,1.24228,0.91767,0.98075,0.00021157,0.00021157,0.00021157
33,267.754,1.22228,0.80427,0.97839,0.80563,0.78585,0.83374,0.61401,1.24334,0.92402,0.98243,0.000189072,0.000189072,0.000189072
34,275.337,1.1952,0.7801,0.97269,0.79675,0.78332,0.83482,0.61007,1.24134,0.9178,0.9818,0.000166574,0.000166574,0.000166574
35,282.884,1.18392,0.7756,0.96402,0.81348,0.77262,0.83766,0.61866,1.23171,0.90921,0.97635,0.000144077,0.000144077,0.000144077
36,290.655,1.18112,0.77523,0.96841,0.76902,0.80278,0.82864,0.61126,1.24191,0.91539,0.98218,0.000121579,0.000121579,0.000121579
37,298.344,1.17547,0.75074,0.96373,0.78975,0.81383,0.8415,0.6183,1.22857,0.89559,0.97913,9.9081e-05,9.9081e-05,9.9081e-05
38,306.062,1.15428,0.73458,0.95736,0.8202,0.78449,0.83839,0.61775,1.2274,0.89893,0.97917,7.65832e-05,7.65832e-05,7.65832e-05
39,313.711,1.16545,0.73914,0.96067,0.78578,0.80746,0.8359,0.62068,1.22223,0.90668,0.97546,5.40855e-05,5.40855e-05,5.40855e-05
40,321.31,1.1518,0.7192,0.95617,0.80757,0.78659,0.83841,0.62273,1.22232,0.89719,0.97646,3.15878e-05,3.15878e-05,3.15878e-05
