epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1028,1.6355,4.93172,1.19472,0.00109,0.29335,0.01043,0.00791,1.30117,4.2981,1.02453,7.272e-05,7.272e-05,7.272e-05
2,29.6876,1.51007,4.17874,1.05009,0.00763,0.55774,0.05326,0.03027,1.37144,4.03007,0.9569,0.000139232,0.000139232,0.000139232
3,37.375,1.55303,2.97827,1.05519,0.00696,0.6783,0.18349,0.13983,1.33257,3.83463,0.94289,0.000189545,0.000189545,0.000189545
4,44.996,1.46803,2.43086,1.04281,0.00971,0.73374,0.22472,0.17959,1.34914,3.666,0.94673,0.000223659,0.000223659,0.000223659
5,52.4917,1.42844,2.17851,1.02969,0.01288,0.74272,0.29806,0.23552,1.34705,3.58127,0.94482,0.000241576,0.000241576,0.000241576
6,59.9178,1.41827,2.00813,1.03129,0.01036,0.74316,0.33968,0.26882,1.36574,3.54098,0.95186,0.000243294,0.000243294,0.000243294
7,67.5078,1.40218,1.94043,1.01874,0.93373,0.11958,0.35519,0.28233,1.32313,3.35261,0.94302,0.000228813,0.000228813,0.000228813
8,75.0282,1.37176,1.81824,1.01806,0.83765,0.24128,0.43262,0.3293,1.3398,3.09218,0.95617,0.000198135,0.000198135,0.000198135
9,82.6791,1.35541,1.73441,1.00431,0.82841,0.24663,0.45008,0.33947,1.35857,3.04331,0.95753,0.000151258,0.000151258,0.000151258
10,90.2098,1.34002,1.67486,1.00417,0.82271,0.31509,0.55037,0.41051,1.31194,2.60165,0.95738,8.81821e-05,8.81821e-05,8.81821e-05
