epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.83795,0.7257,2.97811,1.11781,0.00333,0.26,0.00221,0.00086,2.53635,4.07459,2.39088,6e-05,6e-05,6e-05
2,6.98528,0.69874,2.80264,1.06868,0.00333,0.26,0.00245,0.00086,2.44558,4.04454,2.28478,0.00011228,0.00011228,0.00011228
3,8.21741,0.70536,2.29208,1.04942,0.00308,0.24,0.0042,0.00133,2.58741,4.06264,2.34649,0.00013288,0.00013288,0.00013288
4,9.39349,0.70519,1.69931,1.00443,0.00333,0.26,0.00328,0.00112,2.58506,4.0318,2.27134,0.0001218,0.0001218,0.0001218
5,10.457,0.63392,1.3854,0.98207,0.00359,0.28,0.00381,0.00123,2.5828,4.05396,2.24309,7.904e-05,7.904e-05,7.904e-05
