epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9931,1.59731,3.83302,1.11888,0.33616,0.40291,0.32168,0.23254,1.49673,2.23196,1.0834,0.000302079,0.000302079,0.000302079
2,45.4426,1.58297,2.84478,1.1365,0.40858,0.40544,0.37604,0.24131,1.48701,1.93368,1.11262,0.000545176,0.000545176,0.000545176
3,66.2552,1.57961,2.49953,1.13453,0.39255,0.50097,0.3804,0.25177,1.44737,1.76474,1.08285,0.000728279,0.000728279,0.000728279
4,86.5989,1.53672,2.25855,1.13414,0.43932,0.52912,0.47803,0.32533,1.41024,1.643,1.08155,0.000639027,0.000639027,0.000639027
5,107.5,1.50319,1.99442,1.10784,0.45046,0.5678,0.55241,0.36662,1.39538,1.64911,1.06649,0.000549036,0.000549036,0.000549036
6,127.788,1.49606,1.79772,1.10921,0.47028,0.60797,0.58189,0.39615,1.38859,1.49565,1.06424,0.000459045,0.000459045,0.000459045
7,148.613,1.46852,1.68173,1.10205,0.59494,0.62618,0.6492,0.43852,1.37884,1.35559,1.05111,0.000369054,0.000369054,0.000369054
8,169.134,1.41201,1.51782,1.07808,0.63979,0.61521,0.64693,0.45348,1.32781,1.29439,1.03923,0.000279063,0.000279063,0.000279063
9,190.613,1.38818,1.43466,1.05786,0.7091,0.70654,0.71586,0.49981,1.30103,1.23853,1.02295,0.000189072,0.000189072,0.000189072
10,211.079,1.34892,1.39628,1.0512,0.71336,0.7071,0.72572,0.51059,1.28305,1.1875,1.01709,9.9081e-05,9.9081e-05,9.9081e-05
