epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1593,1.62346,3.59719,1.11398,0.19901,0.43447,0.30181,0.21918,1.43445,2.42122,1.04946,0.000302079,0.000302079,0.000302079
2,44.0125,1.55574,2.6032,1.10785,0.40673,0.55885,0.45887,0.28319,1.43702,1.86804,1.07533,0.000485273,0.000485273,0.000485273
3,64.9648,1.53247,2.31915,1.10939,0.36838,0.55477,0.4726,0.31711,1.38751,2.11294,1.04943,0.00054848,0.00054848,0.00054848
4,85.0162,1.51395,2.03001,1.09219,0.45479,0.61437,0.582,0.41234,1.3675,1.676,1.04507,0.000369054,0.000369054,0.000369054
5,105.225,1.4617,1.87497,1.0786,0.51406,0.63128,0.64078,0.44853,1.31854,1.51848,1.02542,0.000189072,0.000189072,0.000189072
