epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.671,0.85237,1.74435,4.12832,1.29355,0.07851,0.98997,0.16255,0.12876,0.07851,0.98997,0.16255,0.12393,0.76334,1.29901,8.37965,1.11758,0.000122075,0.000122075,0.000122075
2,214.596,0.66996,1.18054,2.56912,1.10721,0.13626,0.87291,0.13923,0.11735,0.13626,0.87291,0.13923,0.11212,0.63645,1.16992,4.59933,1.01003,0.000221113,0.000221113,0.000221113
3,314.123,0.6369,1.13103,1.93749,1.07597,0.15709,0.94649,0.15907,0.13654,0.15709,0.94649,0.15907,0.13029,0.59257,1.09223,4.0677,0.98788,0.000295731,0.000295731,0.000295731
4,413.439,0.60126,1.08203,1.40136,1.05407,0.15249,0.96321,0.15943,0.13783,0.15249,0.96321,0.15943,0.12784,0.60081,1.21786,3.56007,0.97831,0.00026011,0.00026011,0.00026011
