epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9092,1.57933,3.88233,1.10518,0.00684,0.59508,0.14931,0.09703,1.42759,3.76377,0.99403,0.00029088,0.00029088,0.00029088
2,63.5311,1.49557,2.37914,1.07225,0.01407,0.62406,0.12949,0.05986,1.59185,3.40931,1.03915,0.000532356,0.000532356,0.000532356
3,71.8487,1.52396,2.16666,1.08979,0.9224,0.2102,0.38883,0.23293,1.46016,2.62361,1.0587,0.000714438,0.000714438,0.000714438
4,79.7621,1.45721,1.88983,1.07178,0.64477,0.49753,0.529,0.35289,1.41402,1.6846,1.05214,0.000639027,0.000639027,0.000639027
5,87.6537,1.42414,1.70298,1.06341,0.55119,0.60593,0.57285,0.38496,1.3782,1.63682,1.026,0.000549036,0.000549036,0.000549036
6,95.4268,1.41005,1.55851,1.05717,0.63551,0.59574,0.62655,0.43761,1.34001,1.37116,1.00936,0.000459045,0.000459045,0.000459045
7,103.11,1.3759,1.47287,1.03302,0.7176,0.59986,0.68305,0.48163,1.34498,1.25964,1.01509,0.000369054,0.000369054,0.000369054
8,110.999,1.34765,1.35758,1.0232,0.69945,0.70224,0.72608,0.51506,1.30567,1.19512,1.00109,0.000279063,0.000279063,0.000279063
9,118.795,1.32709,1.34508,1.00928,0.70927,0.70214,0.74608,0.53531,1.29442,1.13694,1.00169,0.000189072,0.000189072,0.000189072
10,126.808,1.31689,1.26585,1.01007,0.68638,0.72288,0.72903,0.52494,1.28434,1.14157,1.00025,9.9081e-05,9.9081e-05,9.9081e-05
