epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.877,0.89688,1.79751,2.12825,1.29931,0.14865,0.95994,0.15387,0.119,0.14767,0.95192,0.15288,0.10646,0.79881,1.98519,4.05802,1.14421,0.000661458,0.000661458,0.000661458
2,295.953,0.74597,1.4139,1.0081,1.15604,0.13872,0.83974,0.1435,0.08581,0.13528,0.81891,0.13614,0.07291,1.36169,2.87332,4.79306,1.58783,0.00119664,0.00119664,0.00119664
3,435.502,0.73817,1.40162,0.74223,1.15183,0.14941,0.98382,0.15481,0.11732,0.14892,0.98061,0.15457,0.1112,0.89054,1.87166,4.6478,1.2433,0.00159982,0.00159982,0.00159982
